arxiv_id,url,host,status,public,default_branch,pushed_at,size_kb,stars,archived,empty,note
2504.18736,github.com/EvidenceBench/EvidenceBench,github,200,True,main,2025-08-08,5466,2,False,False,
2504.19017,github.com/lamm-mit/Sparks,github,200,True,main,2025-06-25,1282,23,False,False,
2504.21776,github.com/RUC-NLPIR/WebThinker,github,200,True,main,2025-12-08,5294,1462,False,False,
2504.21776,github.com/project-numina/aimo-progress-prize,github,200,True,main,2024-07-22,5523,495,False,False,
2504.21776,huggingface.co/AI-MO/NuminaMath-1.5,huggingface,401,,,,,,,,
2504.21776,huggingface.co/datasets/glaiveai,huggingface,401,,,,,,,,
2505.03049,github.com/gradio-app/gradio,github,200,True,main,2026-07-25,356419,43207,False,False,
2505.03049,github.com/rahulnyk/graph_maker,github,200,True,main,2024-05-18,16034,727,False,False,
2505.03049,github.com/unslothai/unsloth,github,200,True,main,2026-07-25,158688,68893,False,False,
2505.03049,huggingface.co/datasets/shangzhu/ChemQA,huggingface,200,True,,2024-12-22,,,,False,
2505.04638,github.com/HelloWorldLTY/ARIEL,github,200,True,main,2026-06-21,67,2,False,False,
2505.04638,huggingface.co/datasets/iLOVE2D/ARIEL_DATA,huggingface,200,True,,2025-03-13,,,,False,
2505.04651,github.com/meta-llama/llama3,github,200,True,main,2025-01-26,569,29280,True,False,
2505.08341,github.com/EperLuo/BAISBench,github,200,True,main,2026-03-18,121607,13,False,False,
2505.08341,huggingface.co/datasets/EperLuo/BaisBench,huggingface,200,True,,2026-01-17,,,,False,
2505.11855,github.com/guijinSON/ai4s_r2.git,github,200,True,main,2025-11-17,524746,9,False,False,
2505.11855,huggingface.co/datasets/amphora/SPOT-MetaData,huggingface,200,True,,2025-05-16,,,,False,
2505.14599,github.com/Teddy-XiongGZ/TruthHypo,github,200,True,main,2026-03-15,79,11,False,False,
2505.14963,github.com/shan23chen/MedBrowseComp,github,200,True,main,2025-05-22,134222,43,False,False,
2505.14963,huggingface.co/datasets/AIM-Harvard/MedBrowseComp,huggingface,200,True,,2025-08-27,,,,False,
2505.14963,huggingface.co/datasets/AIM-Harvard/MedBrowseComp_Meta,huggingface,200,True,,2025-05-22,,,,False,
2505.16100,github.com/cbioportal/cbioportal,github,200,True,master,2026-07-24,427514,1027,False,False,
2505.17873,github.com/wanhaoliu/MOOSE-Chem3.git,github,200,True,main,2025-06-03,2592,6,False,False,
2505.18705,github.com/HKUDS/AI-Researcher,github,200,True,main,2025-10-16,762410,5617,False,False,
2505.18705,github.com/langchain-ai/langchain,github,200,True,master,2026-07-25,585252,142585,False,False,
2505.18705,github.com/microsoft/autogen,github,200,True,main,2026-04-15,148692,59964,False,False,
2505.19209,github.com/ZonglinY/MOOSE-Chem2,github,200,True,master,2025-12-03,1253,5,False,False,
2505.19955,github.com/chchenhui/mlrbench,github,200,True,main,2026-05-08,87739,33,False,False,
2505.19955,huggingface.co/datasets/chchenhui,huggingface,401,,,,,,,,
2505.20246,github.com/CharlesQ9/HistAgent,github,200,True,main,2025-10-18,3152,45,False,False,
2505.20246,github.com/huggingface/smolagents,github,200,True,main,2026-07-21,7413,28534,False,False,
2505.20246,huggingface.co/datasets/jiahaoq/HistBench,huggingface,200,True,,2025-05-27,,,,False,
2505.20538,github.com/astro-datalab/notebooks-latest,github,200,True,master,2026-07-06,1096246,99,False,False,
2505.20538,github.com/spacetelescope/jdat_notebooks,github,200,True,main,2026-07-23,2397687,132,False,False,
2505.20779,github.com/allenai/scispacy,github,200,True,main,2025-12-04,248887,1977,False,False,
2505.20779,github.com/mistralai/mistral-finetune,github,200,True,main,2026-06-16,184,3092,True,False,
2505.20779,github.com/mistralai/mistral-inference,github,200,True,main,2026-06-16,569,10831,True,False,
2505.20779,github.com/sunnweiwei/RankGPT,github,200,True,main,2024-03-10,26165,669,False,False,
2505.21396,github.com/assafelovic/gpt-researcher,github,200,True,main,2026-07-18,44783,28636,False,False,
2505.22648,github.com/Alibaba-NLP/WebAgent,github,200,True,main,2026-02-27,309493,19722,False,False,
2505.22648,github.com/QwenLM/Qwen-Agent,github,200,True,main,2026-03-04,19689,16845,False,False,
2505.22648,github.com/RUC-NLPIR/WebThinker,github,200,True,main,2025-12-08,5294,1462,False,False,
2505.22648,github.com/RUCAIBox/SimpleDeepSear,github,404,,,,,,,,not found or private
2505.22648,github.com/camel-ai/owl,github,200,True,main,2026-07-22,39141,20067,False,False,
2505.23559,github.com/ulab-uiuc/tiny-scientist,github,200,True,main,2026-03-04,9982,136,False,False,
2505.23852,github.com/microsoft/autogen,github,200,True,main,2026-04-15,148692,59964,False,False,
2505.23852,github.com/ndobb/nacc_paper_llm_reproducer2,github,404,,,,,,,,not found or private
2506.01372,github.com/ResearAI/Awesome-AI-Scientist,github,200,True,main,2025-10-31,1526,300,False,False,
2506.03444,anonymous.4open.science/r/correlation_prior-3473,other,,,,,,,,,unsupported host; needs manual check
2506.05999,github.com/jarlsanna/gps-for-magnetron-sputtering,github,200,True,main,2025-10-18,29,0,False,False,
2506.05999,github.com/pywinauto/pywinauto,github,200,True,master,2026-05-23,27148,6121,False,False,
2506.08140,github.com/bndr/pipreqs,github,200,True,master,2026-03-30,656,7462,False,False,
2506.08140,github.com/en/graphql,github,404,,,,,,,,not found or private
2506.11113,github.com/Lin-TzuLing/Break,github,404,,,,,,,,not found or private
2506.11113,github.com/QData/TextAttack,github,200,True,master,2026-04-17,26741,3454,False,False,
2506.11763,github.com/Ayanami0730/deep_research_bench,github,200,True,main,2026-05-11,28608,799,False,False,
2506.12385,github.com/akastrin/ida2025lbd,github,200,True,main,2025-03-04,25266,1,False,False,
2506.12594,github.com/AI-secure/RedCode,github,200,True,main,2026-04-24,6481,86,False,False,
2506.12594,github.com/AI4ChemS/Eunomia,github,200,True,main,2024-11-13,8078,77,False,False,
2506.12594,github.com/Agent-RL/ReSearch,github,200,True,main,2025-05-16,4116,1421,False,False,
2506.12594,github.com/AutoBench/AutoBench,github,200,True,master,2025-04-11,1740,43,False,False,
2506.12594,github.com/DISL-Lab/UniSumEval-v1.0,github,200,True,main,2024-09-30,12005,7,False,False,
2506.12594,github.com/DataForScience/LLM4DS,github,200,True,master,2025-10-01,25203,19,False,False,
2506.12937,huggingface.co/amazon/MistralLite,huggingface,200,True,,2024-05-16,,,,False,
2506.13784,huggingface.co/datasets/PKU-DS-,huggingface,401,,,,,,,,
2506.18096,github.com/0russwest0/Agent-R1,github,200,True,main,2026-07-21,8165,1571,False,False,
2506.18096,github.com/Fosowl/agenticSeek,github,200,True,main,2026-07-12,25091,26687,False,False,
2506.18096,github.com/MiroMindAI/MiroRL,github,200,True,main,2025-08-27,481,246,False,False,
2506.18096,github.com/ai-agents-2030/awesome-deep-research-,github,404,,,,,,,,not found or private
2506.18096,github.com/ai-agents-2030/awesome-deep-research-agent,github,200,True,main,2025-09-18,9436,628,False,False,
2506.18096,github.com/bytedance/deer-flow,github,200,True,main,2026-07-26,48400,77855,False,False,
2506.18348,github.com/vvvlun/IDVSCI,github,200,True,main,2025-06-24,5355,5,False,False,
2506.19724,github.com/j1mk1m/AutoExperiment,github,200,True,master,2025-09-19,52263,6,False,False,
2506.20249,github.com/BlinkDL/RWKV-LM,github,200,True,main,2026-07-23,31022,14639,False,False,
2506.20249,github.com/EleutherAI/lm-evaluation-harness,github,200,True,main,2026-07-13,35536,13408,False,False,
2506.20249,github.com/allenai/genesys,github,200,True,main,2026-07-24,373960,166,False,False,
2506.20249,github.com/fla-org/flash-linear-attention,github,200,True,main,2026-07-25,8938,5415,False,False,
2506.20249,github.com/patrick-kidger/torchtyping,github,200,True,master,2025-05-02,110,1484,False,False,
2506.20249,github.com/state-spaces/mamba,github,200,True,main,2026-07-22,2181,18662,False,False,
2506.21506,github.com/Stigmatoz/web-activity-time-tracker,github,200,True,master,2025-06-11,2446,857,False,False,
2506.21506,huggingface.co/blog/open-deep-research,huggingface,401,,,,,,,,
2506.22026,github.com/simra-shahid/idea_novelty_checker,github,200,True,main,2025-03-23,13355,9,False,False,
2506.22419,github.com/Aider-AI/aider,github,200,True,main,2026-05-22,140356,47697,False,False,
2506.22419,github.com/IntologyAI/Zochi,github,200,True,main,2025-11-19,21305,311,False,False,
2506.22419,github.com/KellerJordan/modded-nanogpt,github,200,True,master,2026-07-03,81815,5583,False,False,
2506.22419,github.com/facebookresearch/llm-speedrunner,github,200,True,main,2026-05-06,1174,145,False,False,
2506.22419,github.com/google-research/rliable,github,200,True,master,2024-08-12,1938,880,True,False,
2506.22419,github.com/karpathy/nanoGPT,github,200,True,master,2025-11-12,981,61524,False,False,
2507.00310,github.com/allenai/autodiscovery,github,200,True,main,2026-07-02,692,196,False,False,
2507.01485,github.com/AlexandreQ27/BioMARS,github,200,True,main,2025-07-09,11614,18,False,False,
2507.02083,github.com/h4duan/SciGym,github,200,True,main,2025-07-01,80,13,False,False,
2507.02083,huggingface.co/datasets/h4duan/scigym-eval,huggingface,200,True,,2025-05-19,,,,False,
2507.02083,huggingface.co/datasets/h4duan/scigym-sbml,huggingface,200,True,,2025-05-16,,,,False,
2507.05241,github.com/sjtu-sai-agents/ML-Master,github,200,True,main,2026-03-29,49464,436,False,False,
2507.05241,github.com/sjtu-sai-agents/X-Master,github,200,True,main,2025-10-18,923,321,False,False,
2507.05241,huggingface.co/deepseek-ai/DeepSeek-R1-0528,huggingface,200,True,,2025-05-29,,,,False,
2507.05495,github.com/cxcscmu/Deep-Research-,github,404,,,,,,,,not found or private
2507.07155,github.com/CMBAgents/cmbagent,github,200,True,main,2026-02-12,232630,72,False,False,
2507.07155,github.com/CMBAgents/scirag,github,200,True,main,2025-06-14,36948,6,False,False,
2507.07155,huggingface.co/datasets/ASTROANTS/CosmoPaperQA,huggingface,200,True,,2025-06-09,,,,False,
2507.07257,github.com/CMBAgents/cmbagent,github,200,True,main,2026-02-12,232630,72,False,False,
2507.07257,github.com/ag2ai/ag2,github,200,True,main,2026-07-25,540253,4799,False,False,
2507.07257,huggingface.co/spaces/astropilot-ai,huggingface,401,,,,,,,,
2507.10522,github.com/sciknoworg/deep-research,github,200,True,main,2026-07-15,417274,17,False,False,
2507.11330,github.com/kermitt2/grobid,github,200,True,master,2026-07-25,1963751,5024,False,False,
2507.11330,github.com/njust-winchy/method,github,404,,,,,,,,not found or private
2507.15617,github.com/Future-House/data-analysis-crow,github,200,True,main,2026-04-22,4898,90,False,False,
2507.15617,github.com/edlowther/automated-epidemiology,github,200,True,main,2025-11-05,49977,6,False,False,
2507.16075,github.com/Su-Sea/ydc-deep-research-evals,github,200,True,main,2025-05-15,3457,76,False,False,
2507.16075,github.com/assafelovic/gpt-researcher,github,200,True,main,2026-07-18,44783,28636,False,False,
2507.16075,github.com/bytedance/deer-flow,github,200,True,main,2026-07-26,48400,77855,False,False,
2507.16075,github.com/langchain-ai/open_deep_,github,404,,,,,,,,not found or private
2507.16075,huggingface.co/blog/open-deep-research,huggingface,401,,,,,,,,
2507.16280,github.com/GAIR-NLP/ResearcherBench,github,200,True,main,2026-07-21,18018,51,False,False,
2507.21184,github.com/block/goose,github,200,True,main,2026-07-25,945808,51690,False,False,
2507.21184,github.com/codelion/openevolve,github,200,True,main,2026-07-18,7116,6796,False,False,
2507.21184,github.com/sst/opencode,github,200,True,dev,2026-07-25,427295,189674,False,False,
2507.21184,github.com/superagent-ai/grok-cli,github,200,True,main,2026-07-06,1311,3338,False,False,
2507.23276,github.com/ResearAI/Awesome-AI-Scientist,github,200,True,main,2025-10-31,1526,300,False,False,
2508.00414,github.com/MoonshotAI/Kimi-K2,github,200,True,main,2026-01-21,854,11029,False,False,
2508.00414,github.com/Tencent/CognitiveKernel-Pro,github,200,True,main,2026-04-29,2804,525,False,False,
2508.00414,github.com/verl-project/verl,github,200,True,main,2026-07-25,25370,22656,False,False,
2508.03444,github.com/deltawave-tech/delta,github,200,True,main,2025-08-07,75483,7,False,False,
2508.03963,github.com/nuuuh/SymbolBench,github,200,True,main,2025-12-10,272842,7,False,False,
2508.04183,github.com/bytedance/deer-flow,github,200,True,main,2026-07-26,48400,77855,False,False,
2508.04183,github.com/dzhng/deep-research,github,200,True,main,2026-04-11,74,19420,False,False,
2508.04183,github.com/microsoft/LiveDRBench,github,200,True,main,2025-10-16,549,20,False,False,
2508.04575,github.com/NuoJohnChen/Idea2Proposal,github,200,True,main,2025-12-09,8506,34,False,False,
2508.05366,github.com/SamyAteia/bioasq2025,github,200,True,main,2026-03-15,1319,0,False,False,
2508.05660,github.com/Kamaleswaran-Lab/Agentic-Hybrid-Rag,github,200,True,main,2025-07-30,16914,20,False,False,
2508.05668,github.com/FoundationAgents/OpenManus,github,200,True,main,2026-02-11,4472,57618,False,False,
2508.05668,github.com/langchain-ai/open_,github,404,,,,,,,,not found or private
2508.05668,github.com/nickscamara/open-deep-research,github,200,True,main,2025-05-07,810,6276,False,False,
2508.06600,huggingface.co/datasets/HuggingFaceFW/fineweb-edu,huggingface,200,True,,2025-07-11,,,,False,
2508.06642,github.com/kabrownlab/benchmarking,github,200,True,main,2025-10-06,2431,0,False,False,
2508.06960,github.com/GAIR-NLP/DatasetResearch,github,200,True,main,2025-09-24,1626,23,False,False,
2508.07955,github.com/allenai/s2orc-doc2json,github,200,True,main,2024-04-11,9583,473,False,False,
2508.10152,github.com/EngDoLabadi/odrplus,github,200,True,main,2025-08-13,32,1,False,False,
2508.10152,github.com/nickscamara/ope,github,404,,,,,,,,not found or private
2508.10152,github.com/nickscamara/open-deep-research,github,200,True,main,2025-05-07,810,6276,False,False,
2508.11860,github.com/ninglab/LARC,github,200,True,main,2025-08-15,2565,9,False,False,
2508.11987,github.com/Significant-Gravitas/AutoGPT,github,200,True,master,2026-07-25,634279,185684,False,False,
2508.11987,github.com/huggingface/smolagents,github,200,True,main,2026-07-21,7413,28534,False,False,
2508.11987,github.com/langchain-ai/langchain,github,200,True,master,2026-07-25,585252,142585,False,False,
2508.11987,github.com/yoheinakajima/babyagi,github,200,True,main,2026-01-31,2297,22339,False,False,
2508.11987,huggingface.co/blog/open-deep-research,huggingface,401,,,,,,,,
2508.12800,github.com/antgroup/Research-Venus,github,200,True,master,2025-08-26,2040,302,True,False,
2508.13421,github.com/Aider-AI/aider,github,200,True,main,2026-05-22,140356,47697,False,False,
2508.14111,github.com/AgenticScience/Awesome-Agent-Scientists,github,200,True,main,2026-06-27,1556,286,False,False,
2508.14111,github.com/InternLM/Intern-S1,github,200,True,main,2026-07-17,5393,841,False,False,
2508.14880,github.com/shibing624/MedicalGPT,github,200,True,main,2026-06-03,15524,5656,False,False,
2508.14880,huggingface.co/Qwen/Qwen2-72B,huggingface,200,True,,2024-10-09,,,,False,
2508.15804,github.com/ByteDance-BandAI/ReportBench,github,200,True,main,2025-09-04,2884,56,False,False,
2508.16153,github.com/Agent-on-the-Fly/Memento,github,200,True,main,2025-10-05,3529,2534,False,False,
2508.16153,github.com/camel-ai/owl,github,200,True,main,2026-07-22,39141,20067,False,False,
2508.16153,github.com/inclusionAI/AWorld,github,200,True,main,2026-07-23,402506,1213,False,False,
2508.16153,github.com/searxng/searxng-docker,github,200,True,master,2026-03-28,121,3292,True,False,
2508.16153,github.com/unclecode/crawl4ai,github,200,True,main,2026-07-25,150904,74994,False,False,
