arxiv_id,status,n_pages,repo_urls,has_repo,has_data_archive,availability_statement
2507.05241,ok,15,github.com/sjtu-sai-agents/ML-Master | github.com/sjtu-sai-agents/X-Master | huggingface.co/deepseek-ai/DeepSeek-R1-0528,1,0,0
2507.05495,ok,8,github.com/cxcscmu/Deep-Research-,1,0,1
2507.06185,ok,6,,0,0,1
2507.07155,ok,14,github.com/CMBAgents/cmbagent | github.com/CMBAgents/scirag | huggingface.co/datasets/ASTROANTS/CosmoPaperQA,1,0,0
2507.07257,ok,27,github.com/CMBAgents/cmbagent | github.com/ag2ai/ag2 | huggingface.co/spaces/astropilot-ai,1,0,1
2507.08038,ok,45,,0,0,0
2507.08350,ok,16,,0,0,0
2507.08870,ok,19,,0,0,0
2507.10522,ok,19,github.com/sciknoworg/deep-research,1,0,1
2507.11330,ok,46,github.com/kermitt2/grobid | github.com/njust-winchy/method,1,1,0
2507.11810,ok,34,,0,0,0
2507.15617,ok,9,github.com/Future-House/data-analysis-crow | github.com/edlowther/automated-epidemiology,1,0,1
2507.15759,ok,30,,0,0,0
2507.16075,ok,24,github.com/Su-Sea/ydc-deep-research-evals | github.com/assafelovic/gpt-researcher | github.com/bytedance/deer-flow | github.com/langchain-ai/open_deep_ | huggingface.co/blog/open-deep-research,1,0,0
2507.16248,ok,9,,0,0,0
2507.16280,ok,22,github.com/GAIR-NLP/ResearcherBench,1,0,1
2507.18074,ok,44,,0,0,1
2507.21184,ok,46,github.com/block/goose | github.com/codelion/openevolve | github.com/sst/opencode | github.com/superagent-ai/grok-cli,1,0,0
2507.23276,ok,44,github.com/ResearAI/Awesome-AI-Scientist,1,0,0
2508.00414,ok,21,github.com/MoonshotAI/Kimi-K2 | github.com/Tencent/CognitiveKernel-Pro | github.com/verl-project/verl,1,0,0
2508.01746,ok,12,,0,0,0
2508.03444,ok,28,github.com/deltawave-tech/delta,1,0,1
2508.03963,ok,26,github.com/nuuuh/SymbolBench,1,0,1
2508.04183,ok,27,github.com/bytedance/deer-flow | github.com/dzhng/deep-research | github.com/microsoft/LiveDRBench,1,0,1
2508.04575,ok,32,github.com/NuoJohnChen/Idea2Proposal,1,0,0
2508.05366,ok,17,github.com/SamyAteia/bioasq2025,1,0,0
2508.05660,ok,9,github.com/Kamaleswaran-Lab/Agentic-Hybrid-Rag,1,0,0
2508.05668,ok,35,github.com/FoundationAgents/OpenManus | github.com/langchain-ai/open_ | github.com/nickscamara/open-deep-research,1,0,0
2508.06600,ok,25,huggingface.co/datasets/HuggingFaceFW/fineweb-edu,1,0,1
2508.06642,ok,19,github.com/kabrownlab/benchmarking,1,0,1
2508.06960,ok,25,github.com/GAIR-NLP/DatasetResearch,1,0,1
2508.07955,ok,33,github.com/allenai/s2orc-doc2json,1,0,0
2508.10152,ok,12,github.com/EngDoLabadi/odrplus | github.com/nickscamara/ope | github.com/nickscamara/open-deep-research,1,0,1
2508.11860,ok,24,github.com/ninglab/LARC,1,1,1
2508.11987,ok,51,github.com/Significant-Gravitas/AutoGPT | github.com/huggingface/smolagents | github.com/langchain-ai/langchain | github.com/yoheinakajima/babyagi | huggingface.co/blog/open-deep-research,1,0,0
2508.12800,ok,18,github.com/antgroup/Research-Venus,1,0,0
2508.13421,ok,116,github.com/Aider-AI/aider,1,1,0
2508.14111,ok,84,github.com/AgenticScience/Awesome-Agent-Scientists | github.com/InternLM/Intern-S1,1,0,0
2508.14146,ok,29,,0,0,0
2508.14880,ok,13,github.com/shibing624/MedicalGPT | huggingface.co/Qwen/Qwen2-72B,1,0,1
2508.15126,ok,60,,0,0,0
2508.15804,ok,18,github.com/ByteDance-BandAI/ReportBench,1,0,1
2508.16153,ok,28,github.com/Agent-on-the-Fly/Memento | github.com/camel-ai/owl | github.com/inclusionAI/AWorld | github.com/searxng/searxng-docker | github.com/unclecode/crawl4ai,1,0,1
2508.16571,ok,10,,0,0,0
2508.19113,ok,37,,0,0,0
2508.19200,ok,21,github.com/colinzhaoust/ramon | github.com/tatsu-lab/alpaca,1,0,0
2508.19383,ok,14,,0,0,0
2508.20254,ok,16,github.com/rbulanadi/INS2ANE,1,0,1
2509.00244,ok,16,,0,0,0
2509.00375,ok,19,,0,0,0
2509.01396,ok,23,,0,0,0
2509.03036,ok,26,,0,0,1
2509.04499,ok,19,,0,0,0
2509.05351,ok,10,github.com/An-xu/SDL_LCST_OP,1,0,1
2509.06283,ok,13,github.com/0russwest0/Agent-R1,1,1,0
2509.06733,ok,39,github.com/MiroMindAI/MiroFlow | github.com/bytedance/deer-flow | github.com/dzhng/deep-research | github.com/wenjunli-0/deepresearch-survey | github.com/willccbb/verifiers,1,0,0
2509.06917,ok,25,github.com/google-deepmind/alphagenome | github.com/jmiao24/Paper2Agent | github.com/scverse/scanpy | github.com/sunericd/TISSUE | huggingface.co/spaces/Paper2Agent,1,0,1
2509.08713,ok,26,github.com/niharshah/AIScientistPitfalls,1,0,1
2509.10248,ok,11,,0,0,0
2509.12282,ok,13,github.com/gsasikiran/TIB-webapp,1,0,0
2509.13309,ok,19,github.com/Alibaba-NLP/DeepResearch | github.com/MiroMindAI/MiroThinker,1,0,0
2509.13310,ok,32,github.com/Alibaba-NLP/DeepResearch | github.com/MiroMindAI/MiroThinker | github.com/bytedance/deer-flow | huggingface.co/Qwen/Qwen3-30B-A3B-Base | huggingface.co/deepseek-ai/DeepSeek-V3.1,1,0,0
2509.13312,ok,43,github.com/Alibaba-NLP/DeepResearch | github.com/QwenLM/Qwen-Agent | github.com/Su-Sea/ydc-deep-research-evals | github.com/assafelovic/gpt-researcher | github.com/langchain-ai/open_dee | huggingface.co/blog/open-d,1,0,0
2509.14778,ok,11,github.com/jarrycyx/openlens-ai,1,0,1
2509.21553,ok,7,github.com/Ajaberr/AutoClimDS,1,0,0
2509.23426,ok,35,github.com/QwenLM/qwen-code | github.com/deepset-ai/haystack | github.com/google-gemini/gemini-cli | github.com/langchain-ai/langchain | github.com/mims-harvard/ToolUniverse,1,1,1
2509.24978,ok,70,github.com/MaxNaeg/S | github.com/MaxNaeg/Sci | github.com/jax-ml/jax,1,0,1
2509.25106,ok,33,github.com/MiroMindAI/MiroFlow | github.com/OPPO-PersonalAI/PersonalizedDeepResearchBench,1,0,0
2509.25189,ok,24,,0,0,0
2509.25281,ok,23,,0,0,1
2509.25651,ok,39,github.com/pnnl/autolabs,1,0,1
2509.26603,ok,19,github.com/ResearAI/DeepScientist,1,0,0
2510.00172,ok,69,github.com/All-Hands-AI/OpenHands | github.com/FoundationAgents/OpenManus | github.com/ServiceNow/drbench | github.com/huggingface/smolagents | github.com/zilliztech/deep-searcher,1,0,1
2510.00620,ok,65,,0,0,0
2510.01283,ok,10,,0,0,0
2510.01293,ok,28,,0,0,0
2510.02190,ok,22,github.com/QwenLM/Qwen-Agent | github.com/evigbyen/drbench,1,0,1
2510.04935,ok,22,github.com/QwenLM/Qwen-Agent | github.com/bytedance/SandboxFusion | github.com/sgl-project/sglang | github.com/vllm-project/vllm | github.com/volcengine/verl | huggingface.co/datasets/GeneralReasoning/GeneralThought-430K,1,0,0
2510.04997,ok,5,,0,0,0
2510.05138,ok,13,github.com/lira-workflow/auto-review-writing,1,0,0
2510.05145,ok,20,github.com/assafelovic/gpt-researcher | github.com/langchain-ai/open | github.com/openai/swarm | huggingface.co/spaces/Ayanami0730,1,0,0
2510.06056,ok,25,github.com/codelion/openevolve | github.com/liugangcode/deepevolve,1,0,1
2510.06135,ok,17,,0,0,0
2510.06186,ok,29,,0,0,0
2510.06579,ok,37,github.com/Aider-AI/aider | github.com/ICLR/Master-Template | github.com/acl-org/acl-style-files | github.com/ulab-uiuc/tiny-scientist,1,0,1
2510.07733,ok,14,github.com/akBear23/SurveyG.git,1,0,0
2510.08521,ok,32,github.com/FoundationAgents/MetaGPT | github.com/MiroMindAI/MiroFlow,1,0,1
2510.08619,ok,46,,0,0,0
2510.10472,ok,25,github.com/qrzou/FML-bench | github.com/sicara/easy-few-sho,1,0,1
2510.10931,ok,11,github.com/vibrantlabsai/ragas,1,0,0
2510.10994,ok,41,github.com/langchain-ai/open_deep_resear,1,0,1
2510.11661,ok,25,github.com/GAIR-NLP/SR-Scientist | github.com/SymposiumOrganization/NeuralSymbolicRegressionThatS | github.com/anthropics/claude-code | github.com/deep-symbolic-mathematics/llm-srbench | github.com/dso-org/deep-symbolic-optimization | github.com/facebookresearch/symbolicregression,1,0,1
2510.11851,ok,28,,0,0,0
2510.12194,ok,10,github.com/ResearAI/ResearStudio,1,0,1
2510.12367,ok,31,github.com/PlusLabNLP/LLM-REVal,1,0,0
2510.12979,ok,16,huggingface.co/Qwen/Qwen2.5-7B-Instruct,1,0,1
2510.13081,ok,8,github.com/openai/swarm,1,0,0
2510.13913,ok,23,,0,0,0
2510.13936,ok,25,github.com/confident-ai/deepeval,1,0,0
2510.14240,ok,48,github.com/langchain-ai/open_deep_,1,1,1
2510.14438,ok,32,github.com/Tencent/CognitiveKernel-Pro | github.com/Tencent/WebAggregator | github.com/huggingface/s,1,0,0
2510.14861,ok,19,,0,0,0
2510.15280,ok,16,,0,0,1
2510.15624,ok,37,github.com/ltjed/freephdlabor,1,0,0
2510.15862,ok,19,,0,0,0
2510.16080,ok,12,github.com/CellFace/TriAgent,1,0,0
2510.16082,ok,32,,0,0,1
2510.16234,ok,38,,0,0,0
2510.16844,ok,24,anonymous.4open.science/r/FinSight-6739 | github.com/akfamily/akshare,1,0,0
2510.16872,ok,23,,0,0,1
2510.17797,ok,21,github.com/SalesforceAIResearch/enterprise-deep-research | huggingface.co/datasets/Salesforce/EDR-200,1,0,1
2510.17853,ok,17,,0,0,1
2510.18003,ok,16,,0,0,0
2510.18104,ok,9,,0,0,0
2510.18939,ok,31,github.com/Alibaba-NLP/DeepResearch | github.com/RUC-NLPIR/Search-o1 | github.com/assafelovic/gpt-researcher | github.com/howard-yen/SLIM | github.com/huggingface/smolagents | github.com/unclecode/crawl4ai,1,0,1
2510.20809,ok,53,,0,0,0
2510.20844,ok,6,github.com/valleysprings/TrustResearcher,1,0,1
2510.21603,ok,13,github.com/MMDocRAG/MMDocIR,1,0,0
2510.21652,ok,88,github.com/UKGovernmentBEIS/inspect_ai | github.com/allenai/agent-baselines | github.com/allenai/agent-eval | github.com/allenai/asta-bench | github.com/allenai/asta-paper-finder | github.com/allenai/codescientist,1,1,1
2510.22312,ok,10,,0,0,0
2510.23045,ok,20,github.com/Mr-Tieguigui/Survey-for-AI-Scientist,1,0,0
2510.24694,ok,26,,0,0,0
2510.24701,ok,23,github.com/Alibaba-NLP/DeepResearch | huggingface.co/Alibaba-NLP/Tongyi-DeepResearch-30B-A3B | huggingface.co/Qwen/Qwen3-30B-A3B-Base,1,0,1
2510.24760,ok,46,,0,0,0
2510.24891,ok,44,,0,0,1
2510.26144,ok,31,github.com/codelion/openevolve | github.com/deepreinforce-ai/CUDA-L1 | huggingface.co/datasets/SakanaAI/AI-CUDA-Engineer-Archive,1,0,0
2510.26887,ok,273,github.com/AstroPilot-AI/Denario | github.com/AstroPilot-AI/DenarioApp | github.com/AstroPilot-AI/DenarioExamplePapers | github.com/CMBAgents/cmbagent | github.com/NeuroDiffGym/neurodiffeq | huggingface.co/spaces/astropilot-ai,1,0,1
2510.27598,ok,35,,0,0,0
2511.02071,ok,47,github.com/flatironinstitute/mountainsort,1,0,0
2511.02238,ok,23,github.com/kyZhao-1/Deep-Ideation,1,0,1
2511.02824,ok,42,github.com/EdisonScientific/kosmos-figures,1,0,1
2511.04583,ok,76,github.com/Agent4Science-UTokyo/Jr.AI-Scientist,1,0,0
2511.05498,ok,30,github.com/IlyaTyagin/HGCR | github.com/meta-llama/llama-models,1,0,1
2511.05524,ok,28,,0,0,0
2511.06309,ok,55,github.com/dualverse-ai/station,1,0,1
2511.06701,ok,33,github.com/karsar/ai-,1,0,1
2511.07262,ok,50,github.com/Qile-J/AgenticSciML | github.com/jdtoscano94/Learning-Scientific_Machine_Learning_Residual_,1,0,1
2511.07327,ok,31,github.com/THUDM/slime | github.com/bytedance/SandboxFusion,1,0,0
2511.07448,ok,75,,0,0,0
2511.07685,ok,27,,0,0,1
2511.08522,ok,15,github.com/answers111/alpha-research | github.com/codelion/openevolve | huggingface.co/docs/transformers,1,0,0
2511.08866,ok,24,github.com/Fuyi-Yang/BioVerge,1,0,0
2511.09325,ok,14,,0,0,0
2511.11558,ok,40,github.com/sumner-harris/RAGAgent_AutonomousMaterialsSynthesis.git | github.com/sumner-harris/alchemy.git,1,0,1
2511.11752,ok,24,,0,0,0
2511.11793,ok,19,github.com/MiroMindAI/MiroFlow | github.com/MiroMindAI/MiroThinker | huggingface.co/datasets/khaimaitien | huggingface.co/datasets/zjunlp | huggingface.co/miromind-ai/MiroThinker-v1.0-72B,1,0,1
2511.13288,ok,17,github.com/AQ-MedAI/MrlX | github.com/THUDM/slime,1,0,0
2511.13825,ok,13,,0,0,0
2511.14631,ok,17,github.com/AstroPilot-AI/Denario | github.com/CMBAgents/cmbagent,1,0,1
2511.14819,ok,10,,0,0,0
2511.15342,ok,10,,0,0,0
2511.15593,ok,19,,0,0,0
2511.16931,ok,40,,0,0,0
2511.16997,ok,26,,0,0,0
2511.18259,ok,24,,0,0,0
2511.18303,ok,112,github.com/langchain-ai/local-deep-researcher | github.com/ruiding-uchicago/DToR_deep_research,1,0,1
2511.18743,ok,19,github.com/Su-Sea/ydc-deep-research-evals | github.com/assafelovic/gpt-researcher | github.com/langchain-ai/open_dee,1,0,1
2511.19399,ok,56,github.com/Alibaba-NLP/DeepResearch | github.com/Ayanami0730/deep_research_bench | github.com/RUC-NLPIR/WebThinker | github.com/allenai/asta-bench | github.com/hkust-nlp/WebExplorer | github.com/inclusionAI/ASearcher,1,0,1
2511.19423,ok,10,github.com/jsvine/pdfplumber,1,0,0
2511.19730,ok,17,,0,0,0
2511.21444,ok,13,,0,0,0
2512.00986,ok,55,,0,0,0
2512.01089,ok,9,github.com/cognitiveailab/codedistiller,1,0,1
2512.01948,ok,34,github.com/MiroMindAI/MiroThinker | github.com/OPPO-PersonalAI/FINDER_DEFT,1,1,0
2512.02038,ok,87,github.com/mangopy/Deep-Research-Survey | github.com/volcengine/verl,1,0,0
2512.03887,ok,16,github.com/SauravP97/Static-Deep-Research | github.com/langchain-ai/open_deep_research | huggingface.co/spaces/muset-ai,1,0,0
